t_s,theta1_rad_clean,theta2_rad_clean,omega1_rad_s_clean,omega2_rad_s_clean,theta1_rad_noisy,theta2_rad_noisy
2.770000,0.1357232905,0.0391995183,1.1859526533,-2.3366109483,0.1286222255,0.0451556806
2.780000,0.1474115659,0.0159287714,1.1510210433,-2.3166010496,0.1430790899,0.0141874808
2.790000,0.1587308054,-0.0071146322,1.1122190206,-2.2912320962,0.1553967679,-0.0081008141
2.800000,0.1696445682,-0.0298798845,1.0700042060,-2.2610683646,0.1633886189,-0.0400903666
2.810000,0.1801211024,-0.0523220025,1.0248532013,-2.2267056367,0.1741994657,-0.0593181719
2.820000,0.1901334322,-0.0744020011,0.9772415628,-2.1887434087,0.1825428923,-0.0691135256
2.830000,0.1996592619,-0.0960868103,0.9276273852,-2.1477617989,0.1973533248,-0.0993945635
2.840000,0.2086807370,-0.1173489888,0.8764390679,-2.1043040454,0.2069061928,-0.1219975470
2.850000,0.2171841030,-0.1381662919,0.8240672436,-2.0588646566,0.2137714122,-0.1416292075
2.860000,0.2251593034,-0.1585211464,0.7708604264,-2.0118826792,0.2168908142,-0.1588084771
2.870000,0.2325995499,-0.1784000803,0.7171237069,-1.9637392078,0.2388662296,-0.1841921598
2.880000,0.2395008912,-0.1977931446,0.6631197452,-1.9147581394,0.2328554970,-0.1971605621
2.890000,0.2458618007,-0.2166933557,0.6090713465,-1.8652092045,0.2472519693,-0.2234933941
2.900000,0.2516827952,-0.2350961742,0.5551650085,-1.8153124378,0.2463089623,-0.2312261742
2.910000,0.2569660916,-0.2529990346,0.5015549513,-1.7652434135,0.2603076759,-0.2582843135
2.920000,0.2617153048,-0.2704009274,0.4483672717,-1.7151387415,0.2664944666,-0.2637995858
2.930000,0.2659351872,-0.2873020373,0.3957039726,-1.6651014745,0.2615471193,-0.2873522005
2.940000,0.2696314063,-0.3037034328,0.3436467139,-1.6152061994,0.2600128277,-0.3079316550
2.950000,0.2728103589,-0.3196068060,0.2922601979,-1.5655036843,0.2762892955,-0.3150495029
2.960000,0.2754790164,-0.3350142545,0.2415951544,-1.5160250221,0.2848580192,-0.3418867389
2.970000,0.2776447990,-0.3499281042,0.1916909236,-1.4667852594,0.2797232717,-0.3526634324
2.980000,0.2793154723,-0.3643507643,0.1425776575,-1.4177865303,0.2801181944,-0.3643511419
2.990000,0.2804990654,-0.3782846121,0.0942781720,-1.3690207319,0.2845978684,-0.3788904461
3.000000,0.2812038055,-0.3917319024,0.0468094863,-1.3204717886,0.2850290798,-0.4017748298
3.010000,0.2814380665,-0.4046946974,0.0001840913,-1.2721175530,0.2772931223,-0.4092979301
3.020000,0.2812103286,-0.4171748141,-0.0455890172,-1.2239313935,0.2779145721,-0.4163336424
3.030000,0.2805291484,-0.4291737864,-0.0905035032,-1.1758835111,0.2835847662,-0.4357732442
3.040000,0.2794031353,-0.4406928391,-0.1345550223,-1.1279420285,0.2786830685,-0.4343606926
3.050000,0.2778409343,-0.4517328715,-0.1777406915,-1.0800738860,0.2844239622,-0.4492569670
3.060000,0.2758512138,-0.4622944496,-0.2200586735,-1.0322455766,0.2723295031,-0.4648656515
3.070000,0.2734426569,-0.4723778045,-0.2615078529,-0.9844237454,0.2771957064,-0.4734792669
3.080000,0.2706239549,-0.4819828369,-0.3020875880,-0.9365756787,0.2723371448,-0.4726750163
3.090000,0.2674038044,-0.4911091249,-0.3417975211,-0.8886697000,0.2667716166,-0.4864291827
3.100000,0.2637909046,-0.4997559366,-0.3806374357,-0.8406754897,0.2696704584,-0.4978548409
3.110000,0.2597939564,-0.5079222447,-0.4186071489,-0.7925643432,0.2631943141,-0.5149998386
3.120000,0.2554216630,-0.5156067439,-0.4557064302,-0.7443093779,0.2503968273,-0.5074586873
3.130000,0.2506827304,-0.5228078697,-0.4919349382,-0.6958856987,0.2538838238,-0.5175458643
3.140000,0.2455858685,-0.5295238193,-0.5272921696,-0.6472705316,0.2524608216,-0.5302658462
3.150000,0.2401397936,-0.5357525733,-0.5617774137,-0.5984433310,0.2394875701,-0.5385010636
3.160000,0.2343532300,-0.5414919181,-0.5953897086,-0.5493858679,0.2331099508,-0.5424314378
3.170000,0.2282349134,-0.5467394700,-0.6281277940,-0.5000823045,0.2248866776,-0.5527491534
3.180000,0.2217935935,-0.5514926990,-0.6599900575,-0.4505192601,0.2217255741,-0.5538466268
3.190000,0.2150380383,-0.5557489538,-0.6909744716,-0.4006858715,0.2184690418,-0.5519331512
3.200000,0.2079770386,-0.5595054874,-0.7210785173,-0.3505738557,0.2038886971,-0.5685435938
3.210000,0.2006194128,-0.5627594830,-0.7502990932,-0.3001775748,0.1938876250,-0.5643298549
3.220000,0.1929740141,-0.5655080813,-0.7786324068,-0.2494941109,0.1910952646,-0.5649393014
3.230000,0.1850497375,-0.5677484073,-0.8060738464,-0.1985233525,0.1781511126,-0.5672305671
3.240000,0.1768555286,-0.5694775997,-0.8326178313,-0.1472680983,0.1794716208,-0.5753722844
3.250000,0.1684003946,-0.5706928400,-0.8582576394,-0.0957341814,0.1662669458,-0.5766036045
3.260000,0.1596934164,-0.5713913841,-0.8829852090,-0.0439306184,0.1509164072,-0.5659455572
3.270000,0.1507437631,-0.5715705944,-0.9067909161,0.0081302115,0.1490007256,-0.5776932399
3.280000,0.1415607089,-0.5712279751,-0.9296633224,0.0604323543,0.1405976340,-0.5661847203
3.290000,0.1321536525,-0.5703612085,-0.9515888977,0.1129560323,0.1343993306,-0.5727730350
3.300000,0.1225321398,-0.5689681951,-0.9725517123,0.1656773519,0.1218053221,-0.5635692134
3.310000,0.1127058893,-0.5670470966,-0.9925331024,0.2185679687,0.1220495216,-0.5691524891
3.320000,0.1026848213,-0.5645963814,-1.0115113087,0.2715947039,0.1000913021,-0.5704287380
3.330000,0.0924790908,-0.5616148763,-1.0294610907,0.3247191119,0.0921670981,-0.5573321020
3.340000,0.0820991242,-0.5581018202,-1.0463533192,0.3778969996,0.0815845712,-0.5581887764
3.350000,0.0715556606,-0.5540569255,-1.0621545539,0.4310778971,0.0701425186,-0.5468140426
3.360000,0.0608597965,-0.5494804425,-1.0768266127,0.4842044869,0.0615719244,-0.5450194421
3.370000,0.0500230361,-0.5443732318,-1.0903261422,0.5372119972,0.0527291926,-0.5455203649
3.380000,0.0390573446,-0.5387368414,-1.1026042040,0.5900275726,0.0457578381,-0.5409851794
3.390000,0.0279752059,-0.5325735910,-1.1136058926,0.6425696390,0.0201289253,-0.5324567293
3.400000,0.0167896846,-0.5258866622,-1.1232700071,0.6947472863,0.0142379702,-0.5249356121
3.410000,0.0055144894,-0.5186801949,-1.1315288018,0.7464596985,0.0032756323,-0.5230889375
3.420000,-0.0058359597,-0.5109593885,-1.1383078477,0.7975956697,-0.0011467082,-0.5067496907
3.430000,-0.0172464654,-0.5027306082,-1.1435260391,0.8480332522,-0.0190297807,-0.5047174257
3.440000,-0.0287009864,-0.4940014931,-1.1470957873,0.8976395908,-0.0381768643,-0.4961166318
3.450000,-0.0401825748,-0.4847810650,-1.1489234432,0.9462710041,-0.0397439225,-0.4874845067
3.460000,-0.0516733187,-0.4750798354,-1.1489099935,0.9937733795,-0.0518417649,-0.4739247490
3.470000,-0.0631542934,-0.4649099058,-1.1469520739,1.0399829497,-0.0622555356,-0.4683701688
3.480000,-0.0746055243,-0.4542850590,-1.1429433342,1.0847275156,-0.0798063387,-0.4536102084
3.490000,-0.0860059653,-0.4432208347,-1.1367761840,1.1278281693,-0.0774107919,-0.4293878194
3.500000,-0.0973334972,-0.4317345863,-1.1283439247,1.1691015559,-0.0989527961,-0.4320026336
3.510000,-0.1085649484,-0.4198455113,-1.1175432566,1.2083626833,-0.1095064327,-0.4220155350
3.520000,-0.1196761431,-0.4075746518,-1.1042771170,1.2454282546,-0.1241761859,-0.4159130979
3.530000,-0.1306419787,-0.3949448585,-1.0884577749,1.2801204558,-0.1352969887,-0.3946937489
3.540000,-0.1414365356,-0.3819807161,-1.0700100699,1.3122710809,-0.1475502204,-0.3875268708
3.550000,-0.1520332189,-0.3687084252,-1.0488746549,1.3417258306,-0.1539997732,-0.3705862158
3.560000,-0.1624049324,-0.3551556420,-1.0250110701,1.3683485772,-0.1671928416,-0.3543976040
3.570000,-0.1725242810,-0.3413512764,-0.9984004657,1.3920253595,-0.1622419443,-0.3500062236
3.580000,-0.1823637986,-0.3273252522,-0.9690477888,1.4126678583,-0.1918062605,-0.3265379385
3.590000,-0.1918961944,-0.3131082367,-0.9369832689,1.4302161183,-0.1975378471,-0.3115856608
3.600000,-0.2010946089,-0.2987313468,-0.9022630755,1.4446403179,-0.2031016811,-0.3052168469
3.610000,-0.2099328738,-0.2842258440,-0.8649690727,1.4559414486,-0.2065654174,-0.2861873899
3.620000,-0.2183857632,-0.2696228269,-0.8252076609,1.4641508458,-0.2204545476,-0.2787761587
3.630000,-0.2264292298,-0.2549529354,-0.7831077639,1.4693285960,-0.2230494129,-0.2470754308
3.640000,-0.2340406173,-0.2402460755,-0.7388180781,1.4715609319,-0.2389746367,-0.2385932591
3.650000,-0.2411988412,-0.2255311738,-0.6925037566,1.4709567965,-0.2409023855,-0.2264291163
3.660000,-0.2478845357,-0.2108359707,-0.6443427251,1.4676438076,-0.2391643303,-0.2116531498
3.670000,-0.2540801623,-0.1961868552,-0.5945218443,1.4617638795,-0.2589188843,-0.1905296372
3.680000,-0.2597700796,-0.1816087443,-0.5432331193,1.4534687591,-0.2576722413,-0.1820795721
3.690000,-0.2649405773,-0.1671250066,-0.4906701344,1.4429157077,-0.2639059397,-0.1654709228
3.700000,-0.2695798752,-0.1527574271,-0.4370248524,1.4302635217,-0.2808375501,-0.1451642793
3.710000,-0.2736780928,-0.1385262100,-0.3824848751,1.4156690363,-0.2766229455,-0.1402570457
3.720000,-0.2772271947,-0.1244500134,-0.3272312175,1.3992841992,-0.2715714351,-0.1299131900
3.730000,-0.2802209151,-0.1105460103,-0.2714366110,1.3812537573,-0.2795455267,-0.1146685132
3.740000,-0.2826546691,-0.0968299697,-0.2152643157,1.3617135536,-0.2887160139,-0.0896866505
3.750000,-0.2845254538,-0.0833163512,-0.1588673985,1.3407893974,-0.2810715674,-0.0828592097
3.760000,-0.2858317447,-0.0700184098,-0.1023884205,1.3185964514,-0.2882273594,-0.0725300662
3.770000,-0.2865733901,-0.0569483025,-0.0459594646,1.2952390638,-0.2847731364,-0.0520800806
3.780000,-0.2867515081,-0.0441171964,0.0102975617,1.2708109667,-0.2848669076,-0.0391274095
3.790000,-0.2863683871,-0.0315353725,0.0662704168,1.2453957663,-0.2919618651,-0.0339136113
3.800000,-0.2854273921,-0.0192123232,0.1218558655,1.2190676525,-0.2814782519,-0.0240720074
3.810000,-0.2839328786,-0.0071568428,0.1769589210,1.1918922649,-0.2889704226,-0.0150094858
3.820000,-0.2818901142,0.0046228921,0.2314920316,1.1639276611,-0.2884190435,-0.0043465525
3.830000,-0.2793052082,0.0161192520,0.2853742452,1.1352253425,-0.2837193532,0.0147943197
3.840000,-0.2761850501,0.0273250937,0.3385303782,1.1058313018,-0.2779155003,0.0228591140
3.850000,-0.2725372555,0.0382337111,0.3908902075,1.0757870656,-0.2719902397,0.0475260831
3.860000,-0.2683701208,0.0488387949,0.4423876991,1.0451307102,-0.2722330395,0.0491314837
3.870000,-0.2636925849,0.0591344037,0.4929602814,1.0138978378,-0.2599684883,0.0494236560
3.880000,-0.2585141977,0.0691149435,0.5425481686,0.9821225015,-0.2572568768,0.0762085899
3.890000,-0.2528450961,0.0787751568,0.5910937354,0.9498380743,-0.2563190871,0.0795837083
3.900000,-0.2466959843,0.0881101196,0.6385409442,0.9170780578,-0.2422510197,0.0916350170
3.910000,-0.2400781217,0.0971152470,0.6848348221,0.8838768281,-0.2342727799,0.1005254209
3.920000,-0.2330033136,0.1057863050,0.7299209875,0.8502703202,-0.2334967371,0.1072690878
3.930000,-0.2254839083,0.1141194293,0.7737452238,0.8162966484,-0.2265588236,0.1167361424
3.940000,-0.2175327970,0.1221111499,0.8162530978,0.7819966640,-0.2264016537,0.1233049533
3.950000,-0.2091634174,0.1297584214,0.8573896227,0.7474144503,-0.2112009804,0.1242264918
3.960000,-0.2003897616,0.1370586569,0.8970989649,0.7125977525,-0.2018472952,0.1388923178
3.970000,-0.1912263850,0.1440097669,0.9353241948,0.6775983427,-0.1899994880,0.1491292944
3.980000,-0.1816884187,0.1506102011,0.9720070832,0.6424723154,-0.1825305509,0.1495599191
3.990000,-0.1717915833,0.1568589928,1.0070879474,0.6072803115,-0.1705714486,0.1596155038
4.000000,-0.1615522038,0.1627558047,1.0405055480,0.5720876648,-0.1538817524,0.1648537504
4.010000,-0.1509872258,0.1683009770,1.0721970438,0.5369644656,-0.1536367963,0.1773792373
4.020000,-0.1401142312,0.1734955744,1.1020980099,0.5019855354,-0.1425690926,0.1722318229
4.030000,-0.1289514537,0.1783414329,1.1301425244,0.4672303038,-0.1354972802,0.1768814121
4.040000,-0.1175177930,0.1828412050,1.1562633318,0.4327825812,-0.1175610953,0.1822565463
4.050000,-0.1058328271,0.1869984020,1.1803920897,0.3987302199,-0.1009487622,0.1864864466
4.060000,-0.0939168216,0.1908174318,1.2024597044,0.3651646544,-0.1026721733,0.1794543432
4.070000,-0.0817907349,0.1943036323,1.2223967618,0.3321803192,-0.0851200197,0.1910905831
4.080000,-0.0694762190,0.1974632978,1.2401340567,0.2998739364,-0.0692965165,0.1989627232
4.090000,-0.0569956144,0.2003036980,1.2556032209,0.2683436766,-0.0527450999,0.2002624154
4.100000,-0.0443719380,0.2028330873,1.2687374494,0.2376881934,-0.0424575868,0.1988363916
4.110000,-0.0316288636,0.2050607049,1.2794723180,0.2080055422,-0.0300015455,0.2017368086
4.120000,-0.0187906938,0.2069967622,1.2877466807,0.1793919952,-0.0199122577,0.2052186966
4.130000,-0.0058823219,0.2086524197,1.2935036345,0.1519407741,-0.0034729507,0.2046445608
4.140000,0.0070708147,0.2100397489,1.2966915277,0.1257407244,0.0121423341,0.2074744958
4.150000,0.0200427930,0.2111716826,1.2972649895,0.1008749649,0.0114978342,0.2084747320
4.160000,0.0330072719,0.2120619503,1.2951859493,0.0774195493,0.0366499489,0.2165388045
4.170000,0.0459375700,0.2127250014,1.2904246145,0.0554421803,0.0454437710,0.2178069578
4.180000,0.0588067534,0.2131759158,1.2829603710,0.0350010210,0.0561568091,0.2178438412
4.190000,0.0715877311,0.2134303024,1.2727825726,0.0161436472,0.0593723521,0.2155638114
4.200000,0.0842533583,0.2135041897,1.2598911851,-0.0010938185,0.0773516017,0.2099625773
4.210000,0.0967765450,0.2134139072,1.2442972586,-0.0166873528,0.1052668400,0.2182130595
4.220000,0.1091303684,0.2131759623,1.2260232016,-0.0306254299,0.1056876258,0.2116047093
4.230000,0.1212881868,0.2128069145,1.2051028449,-0.0429091514,0.1158643430,0.2129221756
4.240000,0.1332237534,0.2123232498,1.1815812863,-0.0535520996,0.1309416237,0.2190143525
4.250000,0.1449113274,0.2117412576,1.1555145205,-0.0625799180,0.1411855913,0.2121612218
4.260000,0.1563257798,0.2110769130,1.1269688655,-0.0700296334,0.1569475730,0.2123133331
4.270000,0.1674426937,0.2103457679,1.0960202083,-0.0759487479,0.1750275621,0.2032818705
4.280000,0.1782384550,0.2095628514,1.0627530968,-0.0803941356,0.1753053752,0.2119978978
4.290000,0.1886903340,0.2087425818,1.0272597128,-0.0834307881,0.1894617843,0.2038425485
4.300000,0.1987765567,0.2078986928,0.9896387645,-0.0851304560,0.1930403710,0.2129583911
4.310000,0.2084763639,0.2070441727,0.9499943359,-0.0855702369,0.2160771961,0.2061211768
4.320000,0.2177700592,0.2061912179,0.9084347320,-0.0848311578,0.2187152764,0.1950103737
4.330000,0.2266390457,0.2053512006,0.8650713550,-0.0829967962,0.2212299501,0.2035611001
4.340000,0.2350658517,0.2045346501,0.8200176428,-0.0801519822,0.2395873828,0.2033944775
4.350000,0.2430341458,0.2037512461,0.7733880938,-0.0763816116,0.2490340840,0.2061786222
4.360000,0.2505287432,0.2030098232,0.7252974005,-0.0717695983,0.2513360250,0.2063623851
4.370000,0.2575356039,0.2023183858,0.6758597036,-0.0663979819,0.2493386191,0.2006795646
4.380000,0.2640418240,0.2016841304,0.6251879751,-0.0603462033,0.2729676681,0.2067484714
4.390000,0.2700356213,0.2011134743,0.5733935348,-0.0536905505,0.2715862339,0.1852781976
4.400000,0.2755063170,0.2006120894,0.5205856967,-0.0465037747,0.2813585884,0.1970421444
4.410000,0.2804443144,0.2001849388,0.4668715411,-0.0388548681,0.2776898484,0.1946231174
4.420000,0.2848410761,0.1998363148,0.4123558047,-0.0308089958,0.2828479565,0.1935653973
4.430000,0.2886891001,0.1995698770,0.3571408774,-0.0224275665,0.2892413657,0.2043684089
4.440000,0.2919818970,0.1993886888,0.3013268955,-0.0137684293,0.2975489054,0.2035345408
4.450000,0.2947139683,0.1992952518,0.2450119196,-0.0048861802,0.2954289184,0.1954164017
4.460000,0.2968807864,0.1992915362,0.1882921826,0.0041674379,0.2905966173,0.2051818212
4.470000,0.2984787785,0.1993790070,0.1312623982,0.0133430576,0.2997887245,0.1998863415
4.480000,0.2995053128,0.1995586454,0.0740161154,0.0225931471,0.3076529838,0.1974502249
4.490000,0.2999586885,0.1998309639,0.0166461088,0.0318714252,0.3002877199,0.1963663499
4.500000,0.2998381306,0.2001960157,-0.0407552078,0.0411322442,0.3004850582,0.1963046571
4.510000,0.2991437882,0.2006533985,-0.0980953557,0.0503299572,0.2928310695,0.2030172727
4.520000,0.2978767372,0.2012022504,-0.1552813649,0.0594182847,0.2908617917,0.2044530249
4.530000,0.2960389874,0.2018412413,-0.2122193576,0.0683496940,0.2928505267,0.2030337474
4.540000,0.2936334938,0.2025685569,-0.2688141537,0.0770748085,0.2920009056,0.1923174685
4.550000,0.2906641709,0.2033818776,-0.3249689110,0.0855418601,0.2911844746,0.2048636709
4.560000,0.2871359115,0.2042783521,-0.3805848104,0.0936962036,0.2879656964,0.2071053349
4.570000,0.2830546075,0.2052545666,-0.4355608003,0.1014799064,0.2910641458,0.2019085386
4.580000,0.2784271732,0.2063065101,-0.4897934130,0.1088314325,0.2787206104,0.2065227628
4.590000,0.2732615702,0.2074295373,-0.5431766653,0.1156854368,0.2785836836,0.1981101158
4.600000,0.2675668325,0.2086183300,-0.5956020571,0.1219726864,0.2673701858,0.2024684847
4.610000,0.2613530913,0.2098668587,-0.6469586802,0.1276201229,0.2685976094,0.2082456819
4.620000,0.2546315982,0.2111683446,-0.6971334467,0.1325510823,0.2452796108,0.2096195889
4.630000,0.2474147448,0.2125152261,-0.7460114474,0.1366856803,0.2444210860,0.2142736229
4.640000,0.2397160792,0.2138991287,-0.7934764453,0.1399413715,0.2446312461,0.2079645018
4.650000,0.2315503157,0.2153108424,-0.8394115056,0.1422336852,0.2306923357,0.2136048121
4.660000,0.2229333385,0.2167403062,-0.8836997608,0.1434771324,0.2275909866,0.2142914073
4.670000,0.2138821964,0.2181766039,-0.9262253006,0.1435862742,0.2158075269,0.2208166562
4.680000,0.2044150884,0.2196079698,-0.9668741748,0.1424769329,0.2091444733,0.2267131836
4.690000,0.1945513386,0.2210218085,-1.0055354867,0.1400675189,0.1976166772,0.2296264101
4.700000,0.1843113601,0.2224047274,-1.0421025506,0.1362804392,0.1876796048,0.2145625271
4.710000,0.1737166068,0.2237425838,-1.0764740820,0.1310435462,0.1811788837,0.2235025129
4.720000,0.1627895134,0.2250205471,-1.1085553825,0.1242915802,0.1677218835,0.2194579006
4.730000,0.1515534241,0.2262231742,-1.1382594802,0.1159675545,0.1565224576,0.2258994494
4.740000,0.1400325095,0.2273344987,-1.1655081855,0.1060240330,0.1401346033,0.2294490951
4.750000,0.1282516744,0.2283381326,-1.1902330221,0.0944242496,0.1253424234,0.2287455871
4.760000,0.1162364565,0.2292173775,-1.2123759990,0.0811430255,0.1129386561,0.2289723190
4.770000,0.1040129183,0.2299553439,-1.2318901927,0.0661674479,0.1077676413,0.2373705398
4.780000,0.0916075348,0.2305350764,-1.2487401194,0.0494972822,0.0794152320,0.2341400234
4.790000,0.0790470778,0.2309396814,-1.2629018838,0.0311451040,0.0725111868,0.2295764091
4.800000,0.0663585002,0.2311524545,-1.2743631023,0.0111361472,0.0615422318,0.2312735114
4.810000,0.0535688226,0.2311570054,-1.2831226091,-0.0104921217,0.0523307157,0.2355114944
4.820000,0.0407050230,0.2309373766,-1.2891899603,-0.0336906807,0.0275478328,0.2339863292
4.830000,0.0277939330,0.2304781553,-1.2925847617,-0.0583998510,0.0340875395,0.2283527748
4.840000,0.0148621411,0.2297645742,-1.2933358508,-0.0845503780,0.0178630173,0.2208883599
4.850000,0.0019359053,0.2287826012,-1.2914803671,-0.1120646516,0.0118588173,0.2228593137
4.860000,-0.0109589251,0.2275190168,-1.2870627463,-0.1408580198,-0.0056478528,0.2282489130
4.870000,-0.0237969775,0.2259614777,-1.2801336756,-0.1708401525,-0.0186450809,0.2170288435
4.880000,-0.0365534129,0.2240985664,-1.2707490425,-0.2019164116,-0.0253000328,0.2233365939
4.890000,-0.0492039730,0.2219198276,-1.2589689069,-0.2339891912,-0.0520587634,0.2196519817
4.900000,-0.0617250167,0.2194157917,-1.2448565235,-0.2669591960,-0.0692423087,0.2244120558
4.910000,-0.0740935476,0.2165779856,-1.2284774328,-0.3007266317,-0.0752553346,0.2099877665
4.920000,-0.0862872329,0.2133989319,-1.2098986370,-0.3351922891,-0.0904121932,0.2037400870
4.930000,-0.0982844138,0.2098721382,-1.1891878708,-0.3702585089,-0.0995686406,0.2077739345
4.940000,-0.1100641099,0.2059920777,-1.1664129718,-0.4058300196,-0.1153152049,0.2091658934
4.950000,-0.1216060176,0.2017541612,-1.1416413524,-0.4418146458,-0.1187666172,0.2071037542
4.960000,-0.1328905032,0.1971547032,-1.1149395714,-0.4781238889,-0.1303255890,0.1926080682
4.970000,-0.1438985932,0.1921908831,-1.0863730008,-0.5146733836,-0.1440332062,0.1945422018
4.980000,-0.1546119606,0.1868607016,-1.0560055825,-0.5513832369,-0.1530540531,0.1813035493
4.990000,-0.1650129101,0.1811629350,-1.0238996671,-0.5881782569,-0.1657231637,0.1774187977
5.000000,-0.1750843614,0.1750970876,-0.9901159278,-0.6249880802,-0.1713241930,0.1779350612
